Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R61,10K,R_0603_1608Metric,255.5,-105.5,90.0,top
R62,4K7,R_0603_1608Metric,258.425,-99.8,0.0,top
R63,4K7,R_0603_1608Metric,269.6,-106.8,-90.0,top
R64,300K,R_0603_1608Metric,276.8,-104.8,0.0,top
R65,10K,R_0603_1608Metric,280.5,-105.5,90.0,top
R66,4K7,R_0603_1608Metric,283.425,-99.8,0.0,top
R67,15K,R_0603_1608Metric,171.025,-80.5,90.0,top
R68,4K7,R_0603_1608Metric,179.525,-82.35,180.0,top
R69,15K,R_0603_1608Metric,171.025,-90.5,90.0,top
R7,0,R_0603_1608Metric,265.015,-169.775,0.0,top
R70,4K7,R_0603_1608Metric,179.525,-92.35,180.0,top
R71,15K,R_0603_1608Metric,231.025,-80.5,90.0,top
R72,4K7,R_0603_1608Metric,239.525,-82.35,180.0,top
R73,15K,R_0603_1608Metric,231.025,-90.5,90.0,top
R74,4K7,R_0603_1608Metric,239.525,-92.35,180.0,top
R75,10K,R_0603_1608Metric,280.0,-158.2,-90.0,top
R76,33,R_0603_1608Metric,284.294234,-165.996309,90.0,top
R77,33,R_0603_1608Metric,282.714234,-165.99,-90.0,top
R8,2K,R_0603_1608Metric,275.945,-170.415,180.0,top
R9,10K,R_0603_1608Metric,275.945,-168.955,0.0,top
RV1,5K,Potentiometer_Bourns_3296W_Vertical,177.198125,-196.653883,-90.0,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,254.305,-167.795,90.0,top
SW2,SW_Push,SW_Push_SPST_NO_Alps_SKRK,254.315,-173.305,90.0,top
SW3,SW_Nidec_CAS-120A1,Nidec_Copal_CAS-120A,243.5607,-190.845,90.0,top
SW4,RotaryEncoder_Switch,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,252.365,-116.64,0.0,top
SW5,RotaryEncoder_Switch,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,277.335,-116.61,0.0,top
U1,K155NA1,DIP-16_W7.62mm,181.405,-116.325,-90.0,top
U10,TPD4E02B04DQA,USON-10_2.5x1.0mm_P0.5mm,289.775,-193.855,180.0,top
U11,MAX1771xSA,SO-8_3.9x4.9mm_P1.27mm,145.115,-194.06,-90.0,top
U12,AMS1117-3.3,SOT-223-3_TabPin2,161.36,-168.685,180.0,top
U13,CH334R,QSOP-16_3.9x4.9mm_P0.635mm,285.89295,-175.494872,-90.0,top
U14,MAX3421EETJ_T,HVQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,284.0375,-159.75,-90.0,top
U2,ESP32-WROOM-32E,ESP32-WROOM-32D,226.285,-152.38,270.0,top
U3,CP2102N-Axx-xQFN28,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,270.805,-170.1125,0.0,top
U4,MCP23017_ML,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,245.285,-150.19,180.0,top
U5,74AHCT1G125,SOT-23-5,127.953002,-117.44,270.0,top
U6,SI4732-A10-GS,SOIC_A10-GS_SIL,243.575,-198.32,180.0,top
U7,TPA2016D2RTJR,QFN50P400X400X80-21N,190.14,-194.995,0.0,top
U8,PCM5102,TSSOP-20_4.4x6.5mm_P0.65mm,187.3,-175.88,0.0,top
U9,DS3231M,SOIC-16W_7.5x10.3mm_P1.27mm,169.31,-157.13,180.0,top
VR1,LM2577S-ADJ_NOPB,VREG_LM2577S-ADJ_NOPB,145.0105,-171.825,-90.0,top
Y1,OK252032.768KJBA4SL,Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm,235.1707,-199.445,0.0,top
Y2,12MHz,Crystal_SMD_HC49-SD,291.67045,-175.554872,90.0,top
Y3,12MHz,Crystal_SMD_HC49-SD,291.7,-160.2,-90.0,top
mouse-bite-1mm-3mm,VAL**,mouse-bite-1mm-3mm,140.65,-135.2,0.0,top
mouse-bite-1mm-3mm,VAL**,mouse-bite-1mm-3mm,280.65,-135.2,0.0,top
mouse-bite-1mm-3mm,VAL**,mouse-bite-1mm-3mm,260.65,-135.2,0.0,top
mouse-bite-1mm-3mm,VAL**,mouse-bite-1mm-3mm,240.65,-135.2,0.0,top
mouse-bite-1mm-3mm,VAL**,mouse-bite-1mm-3mm,160.65,-135.2,0.0,top
mouse-bite-1mm-3mm,VAL**,mouse-bite-1mm-3mm,220.65,-135.2,0.0,top
mouse-bite-1mm-3mm,VAL**,mouse-bite-1mm-3mm,120.65,-135.2,0.0,top
